Air quality monitoring: SO2,,,,,,
Unit: µg/m³,,,,,,
Year,Station,St.type,Average, winter,25th highest,4th highest day
2019,Copenhagen/1103,Street,1,1,5,3
2018,Copenhagen/1103,Street,1,1,7,5
2017,Copenhagen/1103,Street,1,2,9,6
2016,Copenhagen/1103,Street,2,2,10,7
2015,Copenhagen/1103,Street,2,2,11,8
2014,Copenhagen/1103,Street,2,3,12,9
2013,Copenhagen/1103,Street,2,2,14,10
2012,Copenhagen/1103,Street,2,2,12,7
2011,Copenhagen/1103,Street,3,3,14,9
2010,Copenhagen/1103,Street,5,4,22,14
2009,Copenhagen/1103,Street,3,3,20,9
2008,Copenhagen/1103,Street,2,3,14,6
2007,Copenhagen/1103,Street,3,4,19,9
2006,Copenhagen/1103,Street,2,3,17,6
2005,Copenhagen/1103,Street,4,4,32,15
2004,Copenhagen/1103,Street,4,4,27,14
2003,Copenhagen/1103,Street,5,6,43,17
2002,Copenhagen/1103,Street,4,4,23,9
2001,Copenhagen/1103,Street,3,3,26,10
2000,Copenhagen/1257,Street,3,3,-,-
1999,Copenhagen/1257,Street,4,4,-,-
1998,Copenhagen/1257,Street,4,-,-,-
1997,Copenhagen/1257,Street,5,-,-,-
1996,Copenhagen/1257,Street,7,-,-,-
1995,Copenhagen/1257,Street,9,-,-,-
1994,Copenhagen/1257,Street,9,-,-,-
1993,Copenhagen/1257,Street,12,-,-,-
1992,Copenhagen/1257,Street,14,-,-,-
1991,Copenhagen/1257,Street,18,-,-,-
1990,Copenhagen/1257,Street,19,-,-,-
1989,Copenhagen/1257,Street,22,-,-,-
1988,Copenhagen/1257,Street,23,-,-,-
1986,Copenhagen/1103,Street,28,-,-,-
1985,Copenhagen/1103,Street,38,-,-,-
1984,Copenhagen/1103,Street,40,-,-,-
1983,Copenhagen/1103,Street,37,-,-,-
