status,M_Y,noofaccount,noofclients,moved_amount,nooftrans
A,"April,1993",8,8,28413959,3264
A,"April,1994",4,4,9536023,1342
A,"April,1995",3,3,6141471,906
A,"April,1997",1,1,1365607,124
A,"August,1993",7,7,19219828,2548
A,"August,1994",2,2,4641023,628
A,"August,1995",2,2,5018212,529
A,"August,1996",1,1,2280043,211
A,"December,1993",4,4,11931966,1475
A,"December,1994",3,3,3345733,749
A,"December,1995",2,2,4042859,439
A,"February,1993",12,12,42831735,5244
A,"February,1994",2,2,4353571,609
A,"February,1995",2,2,3276513,529
A,"February,1996",5,5,10429225,1015
A,"February,1997",2,2,2831551,254
A,"January,1993",7,7,18326077,2953
A,"January,1994",1,1,3011319,363
A,"January,1995",5,5,11383953,1490
A,"January,1996",1,1,1638066,206
A,"January,1997",1,1,537006,162
A,"July,1993",9,9,28890658,3402
A,"July,1994",5,5,13814635,1577
A,"July,1995",1,1,1648426,307
A,"July,1996",3,3,6347358,614
A,"June,1993",9,9,27228670,3434
A,"June,1994",2,2,4702236,631
A,"June,1995",3,3,2835556,684
A,"June,1996",4,4,6751487,621
A,"June,1997",1,1,1380348,111
A,"March,1993",12,12,40412374,4904
A,"March,1995",2,2,3564457,494
A,"March,1996",12,12,19454140,2315
A,"March,1997",1,1,441994,108
A,"May,1993",9,9,27429584,3704
A,"May,1994",3,3,10172805,1040
A,"May,1995",2,2,3903522,419
A,"May,1996",6,6,6435409,1058
A,"November,1993",11,11,35157356,4134
A,"November,1994",2,2,2368460,578
A,"November,1995",3,3,6711804,683
A,"November,1996",2,2,1855289,261
A,"October,1993",4,4,14018761,1460
A,"October,1994",3,3,9172909,932
A,"October,1995",2,2,1582929,465
A,"October,1996",2,2,1456619,256
A,"September,1993",11,11,24558608,4409
A,"September,1994",1,1,1647324,336
A,"September,1995",1,1,2949272,279
A,"September,1996",2,2,2891999,343
B,"April,1993",1,1,3917596,397
B,"April,1995",2,2,2297245,598
B,"August,1993",3,3,8102622,1096
B,"August,1995",1,1,1852007,259
B,"December,1993",1,1,3382368,335
B,"December,1995",2,2,4419529,401
B,"January,1993",1,1,4765487,425
B,"July,1995",1,1,698158,178
B,"July,1996",1,1,2538766,181
B,"June,1993",2,2,6332317,766
B,"March,1993",3,3,10684939,1163
B,"March,1994",1,1,2515327,362
B,"March,1995",1,1,1868675,225
B,"May,1993",1,1,3168367,350
B,"May,1994",1,1,2835167,273
B,"May,1996",1,1,745949,184
B,"November,1993",3,3,6816115,1114
B,"October,1993",1,1,2600505,397
B,"October,1994",1,1,1891794,219
B,"October,1995",1,1,1525930,222
B,"October,1996",1,1,1190004,190
B,"September,1993",1,1,3977525,430
C,"April,1993",2,2,5332073,920
C,"April,1995",7,7,13742693,1807
C,"April,1996",15,15,21219485,2704
C,"April,1997",13,13,11500814,1414
C,"August,1993",2,2,2810786,768
C,"August,1994",3,3,7363729,958
C,"August,1995",6,6,6899634,1411
C,"August,1996",16,16,21967229,2591
C,"August,1997",15,15,8938623,1333
C,"December,1993",1,1,1146496,307
C,"December,1994",3,3,4961628,837
C,"December,1995",1,1,2952817,244
C,"December,1996",19,19,17418953,2450
C,"December,1997",3,3,1020442,147
C,"February,1994",2,2,2794739,635
C,"February,1995",6,6,13194427,1474
C,"February,1996",10,10,13997879,1831
C,"February,1997",12,12,10346851,1438
C,"January,1994",2,2,5276241,618
C,"January,1995",7,7,15562514,1852
C,"January,1996",14,14,27190165,2792
C,"January,1997",12,12,10940016,1491
C,"July,1993",2,2,5665885,711
C,"July,1994",2,2,8768789,627
C,"July,1995",8,8,15302449,1724
C,"July,1996",22,22,33353750,3797
C,"July,1997",11,11,8458105,961
C,"June,1993",2,2,5919583,836
C,"June,1994",4,4,9023828,1263
C,"June,1995",3,3,5047459,673
C,"June,1996",14,14,14262694,2242
C,"June,1997",8,8,4929758,789
C,"March,1993",1,1,4068472,356
C,"March,1994",2,2,4472178,586
C,"March,1995",4,4,7776318,1036
C,"March,1996",11,11,13415825,1900
C,"March,1997",5,5,3423071,544
C,"May,1993",3,3,9745606,1090
C,"May,1994",2,2,2445905,670
C,"May,1995",6,6,10812451,1299
C,"May,1996",10,10,9749380,1724
C,"May,1997",10,10,8522731,1008
C,"November,1993",3,3,8336932,1159
C,"November,1994",6,6,19886216,1669
C,"November,1995",6,6,7664068,1257
C,"November,1996",14,14,18219577,1921
C,"November,1997",3,3,1522042,208
C,"October,1993",3,3,6026424,983
C,"October,1994",1,1,3506495,385
C,"October,1995",9,9,14388373,2002
C,"October,1996",17,17,20831791,2454
C,"October,1997",6,6,4502991,385
C,"September,1993",4,4,5139128,1466
C,"September,1994",3,3,9425582,1146
C,"September,1995",3,3,4502796,726
C,"September,1996",11,11,14326034,1702
C,"September,1997",13,13,10750395,967
D,"April,1996",3,3,3724641,596
D,"August,1993",2,2,4825135,830
D,"August,1994",1,1,2568467,267
D,"August,1995",3,3,6262639,667
D,"August,1997",1,1,747795,95
D,"December,1996",3,3,2461798,463
D,"January,1995",1,1,2842166,273
D,"January,1996",3,3,5751312,606
D,"July,1993",1,1,1080780,295
D,"July,1996",2,2,1996273,286
D,"July,1997",1,1,345280,77
D,"June,1993",1,1,4123574,366
D,"June,1995",1,1,915802,235
D,"June,1997",1,1,1277933,118
D,"March,1993",1,1,1121346,336
D,"March,1996",1,1,1443401,164
D,"March,1997",1,1,636747,65
D,"May,1994",2,2,5488416,587
D,"May,1996",2,2,1290046,209
D,"May,1997",1,1,571858,86
D,"November,1993",1,1,2426402,359
D,"November,1994",1,1,2996633,290
D,"November,1995",3,3,4530554,604
D,"October,1996",2,2,2901982,263
D,"September,1993",1,1,2113171,350
D,"September,1995",1,1,2388705,275
D,"September,1996",4,4,6635907,667
